Maniac,2018,18+,7.8/10,78/100,NETFLIX,non-existing,non-existing,non-existing
Dark Matter,2015,18+,7.5/10,78/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Star Trek: Voyager,1995,7+,7.8/10,78/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Call the Midwife,2012,16+,8.4/10,78/100,NETFLIX,non-existing,non-existing,non-existing
Queer Eye,2018,16+,8.5/10,78/100,NETFLIX,non-existing,non-existing,non-existing
American Vandal,2017,16+,8.2/10,78/100,NETFLIX,non-existing,non-existing,non-existing
Wynonna Earp,2016,16+,7.5/10,78/100,NETFLIX,non-existing,non-existing,non-existing
Marvel's The Defenders,2017,18+,7.3/10,78/100,NETFLIX,non-existing,non-existing,non-existing
HAPPY!,2017,18+,8.2/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Haikyu!!,2014,16+,8.7/10,77/100,NETFLIX,HULU,non-existing,non-existing
Colony,2016,16+,7.4/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Heartland,2007,7+,8.4/10,77/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Alone,2015,16+,8.4/10,77/100,NETFLIX,HULU,non-existing,non-existing
Marco Polo,2014,18+,8.0/10,77/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Wild Wild Country,2018,16+,8.1/10,77/100,NETFLIX,non-existing,non-existing,non-existing
The Dragon Prince,2018,7+,8.4/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Locke & Key,2020,16+,7.4/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Love,2016,18+,7.7/10,77/100,NETFLIX,non-existing,non-existing,non-existing
One Day at a Time,2017,7+,8.2/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Feel Good,2020,18+,7.5/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Fauda,2015,16+,8.2/10,77/100,NETFLIX,non-existing,non-existing,non-existing
The Dark Crystal: Age of Resistance,2019,7+,8.4/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Top Boy,2011,18+,8.4/10,77/100,NETFLIX,non-existing,non-existing,non-existing
I Am Not Okay with This,2020,18+,7.5/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Supergirl,2015,16+,6.2/10,77/100,NETFLIX,non-existing,non-existing,non-existing
The Shannara Chronicles,2016,16+,7.2/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Designated Survivor,2016,7+,7.5/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Travelers,2016,16+,8.1/10,77/100,NETFLIX,non-existing,non-existing,non-existing
StartUp,2016,18+,7.9/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Ripper Street,2012,18+,8.1/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Episodes,2011,18+,7.8/10,77/100,NETFLIX,non-existing,non-existing,non-existing
Crazy Ex-Girlfriend,2015,16+,7.8/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Bloodline,2015,18+,7.9/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Black Summer,2019,18+,6.5/10,76/100,NETFLIX,non-existing,non-existing,non-existing
The Borgias,2011,18+,7.9/10,76/100,NETFLIX,non-existing,non-existing,non-existing
Glee,2009,16+,6.7/10,76/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
