Virgin River,2019,16,7.4,7.6,1,0,0,0
Lilyhammer,2012,18,8,7.6,1,0,0,0
Dirty John,2018,18,7.2,7.6,1,0,0,0
TURN: Washington's Spies,2014,16,8.1,7.6,1,0,0,0
Star Trek: Enterprise,2001,7,7.5,7.6,1,1,1,0
Merlin,2008,7,7.9,7.5,1,1,1,0
The Magicians,2015,16,7.6,7.5,1,0,0,0
Ginny & Georgia,2021,16,7.5,7.5,1,0,0,0
The Spy,2019,18,7.9,7.5,1,0,0,0
On My Block,2018,16,8,7.5,1,0,0,0
The Movies That Made Us,2019,18,7.8,7.5,1,0,0,0
Biohackers,2020,18,6.8,7.5,1,0,0,0
The Seven Deadly Sins,2014,16,8,7.5,1,0,0,0
The Keepers,2017,16,8.1,7.5,1,0,0,0
F is for Family,2015,18,8,7.4,1,0,0,0
The Midnight Gospel,2020,18,8.2,7.4,1,0,0,0
Ragnarok,2020,18,7.5,7.4,1,0,1,0
Legacies,2018,16,7.4,7.4,1,0,0,0
The Order,2019,18,6.8,7.4,1,0,0,0
Disenchantment,2018,16,7.2,7.4,1,0,0,0
Dead Set,2008,18,7.6,7.4,1,0,0,0
Dirty Money,2018,16,8.1,7.4,1,0,0,0
The Staircase,2005,16,7.9,7.4,1,0,0,0
Soul Eater,2008,16,7.8,7.4,1,1,0,0
Into the Night,2020,18,7.1,7.4,1,0,0,0
Julie and the Phantoms,2020,7,8.5,7.4,1,0,0,0
Leyla ile Mecnun,2011,7,9.1,7.4,1,0,0,0
Living with Yourself,2019,18,7.2,7.4,1,0,0,0
Hilda,2018,7,8.6,7.4,1,0,0,0
The Mechanism,2018,18,8.4,7.4,1,0,0,0
ERASED,2016,16,8.5,7.4,1,1,0,0
Formula 1: Drive to Survive,2019,16,8.6,7.4,1,0,0,0
Don't F**k with Cats: Hunting an Internet Killer,2019,18,8,7.4,1,0,0,0
Kim's Convenience,2016,16,8.2,7.3,1,0,0,0
The Society,2019,18,7.1,7.3,1,0,0,0
Imposters,2017,16,7.8,7.3,1,0,0,0
Frequency,2016,7,7.5,7.3,1,0,1,0
Wentworth,2013,18,8.6,7.3,1,0,0,0
Marvel's Iron Fist,2017,18,6.5,7.3,1,0,0,0
Bleach,2004,18,8.1,7.3,1,1,0,0
Quantico,2015,16,6.7,7.3,1,0,0,0
Shooter,2016,16,7.5,7.3,1,0,0,0
Pokémon,1997,7,7.5,7.3,1,1,1,0
Hollywood,2020,18,7.5,7.3,1,0,0,0
Madam Secretary,2014,16,7.6,7.3,1,0,0,0
Last Tango in Halifax,2012,16,8.3,7.3,1,0,0,0
Safe,2018,18,7.3,7.3,1,1,0,0
Resurrection: Ertugrul,2014,16,8,7.3,1,0,0,0
Versailles,2015,18,7.9,7.3,1,0,0,0
Sex/Life,2021,18,5.4,7.3,1,0,0,0
Fullmetal Alchemist,2003,16,8.5,7.3,1,0,0,0
Marianne,2019,18,7.5,7.3,1,0,0,0
Five Came Back,2017,16,8.3,7.3,1,0,0,0
Miraculous: Tales of Ladybug & Cat Noir,2015,7,7.7,7.3,1,0,0,0
Abstract: The Art of Design,2017,16,8.4,7.3,1,0,0,0
Teenage Bounty Hunters,2020,18,7.7,7.2,1,0,0,0
Documentary Now!,2015,18,8.1,7.2,1,0,0,0
Special,2019,18,7.6,7.2,1,0,0,0
JoJo's Bizarre Adventure,2012,18,8.4,7.2,1,1,0,0
Manhunt,2017,16,8.1,7.2,1,0,0,0
Your Lie in April,2014,7,8.6,7.2,1,1,0,0
Code Geass: Lelouch of the Rebellion,2006,18,8.7,7.2,1,0,0,0
Middleditch & Schwartz,2020,18,8.6,7.2,1,0,0,0
Zoo,2015,16,6.7,7.2,1,0,0,0
Jupiters Legacy,2021,18,6.7,7.2,1,0,0,0
Ratched,2020,18,7.3,7.2,1,0,0,0
Babylon Berlin,2017,18,8.4,7.2,1,0,0,0
Everything Sucks!,2018,16,7.5,7.2,1,0,0,0
Evil Genius,2018,18,7.5,7.2,1,0,0,0
Doctor Foster,2015,16,7.7,7.2,1,0,0,0
